13	197F00	-10.17	13.001	3.233
5	00FF98	-12.642	-20.707	21.065
PGa	7F007F	-20.325	-9.658	-3.83
IPa	FF00FF	-20.71	-8.16	-9.307
V3	007F00	-16.222	-34.056	1.205
8l	7F1900	-18.467	8.068	13.282
31	4CFF00	-1.363	-19.753	14.102
ENTO	007F3F	-9.673	-7.046	-14.687
TEav	00FF00	-16.923	-3.178	-18.952
V2	7FFF00	-11.773	-38.046	1.949
LB	7F004C	-25.369	-7.184	2.481
7B	CBFF00	-25.82	-14.116	13.165
PERI	00FFFF	-12.444	-3.988	-17.233
F2	727F00	-9.076	3.428	20.768
F3	7F4C00	-3.6	5.156	18.936
FST	007F32	-21.636	-17.562	-1.664
7m	FF004C	-3.242	-23.637	17.793
V3A	0066FF	-15.23	-33.45	10.842
3	FF4C00	-16.112	-7.823	15.084
V4	FFFF00	-23.479	-28.437	0.832
F1	0099FF	-12.452	-6.091	20.23
11	657F00	-8.388	18.664	6.547
8B	00FF19	-8.276	14.366	16.947
V4t	00337F	-24.237	-25.13	9.784
24a	007F26	-1.795	6.904	11.763
24d	007F0C	-4.893	6.84	15.46
STPr	FF007F	-22.192	0.796	-11.693
AIP	7F0065	-20.371	-13.035	13.968
TEam-a	FF0065	-22.173	-1.313	-12.885
29-30	4C007F	-2.333	-13.675	10.587
V6A	597F00	-4.704	-32.804	13.914
DP	00FF32	-14.977	-31.491	18.263
V6	00FF4C	-5.75	-35.551	7.376
PIR	4C7F00	-14.529	4.059	-5.147
PBr	0033FF	-25.808	0.605	-7.372
7op	007F59	-21.304	-16.362	10.742
44	FF00B2	-17.315	6.066	8.58
PIP	B2FF00	-10.075	-31.217	14.249
MT	0C7F00	-19.125	-24.768	7.462
MB	98FF00	-21.183	-7.071	0.14
10	7F2600	-3.834	25.97	7.829
14	7F3200	-3.627	17.141	3.191
TEad	3F7F00	-22.212	-2.666	-16.168
TPt	7F0019	-20.087	-21.48	12.502
V1	7F003F	-11.87	-41.803	5.34
24b	00667F	-1.818	8.536	14.24
LIP	FFB200	-13.537	-22.649	17.146
MW	FF0000	-7.306	-5.688	-1.388
45A	00FFB2	-21.173	13.958	8.891
MST	00FFCB	-17.328	-24.206	10.482
TEO	7F7F00	-26.425	-23.604	-4.893
45B	004C7F	-19.817	9.322	9.966
25	FF6500	-2.9	11.088	1.523
9-46v	00CCFF	-16.482	15.914	12.037
OPAI	7F7200	-7.733	9.097	-0.776
POLE	7F0000	-17.058	6.333	-13.286
12	CC00FF	-17.215	14.33	5.501
TH-TF	007F7F	-13.326	-18.959	-10.589
Core	7F000C	-23.703	-5.101	0.177
F7	FF1900	-6.555	13.493	19.621
F6	FF9800	-3.573	14.662	16.962
ProSt	00FF65	-9.674	-23.188	-0.032
Pi	007F72	-19.048	1.825	-5.982
2	FFCB00	-22.159	-8.949	13.113
MIP	7F5900	-8.183	-24.957	17.471
9-46d	7F0C00	-13.265	15.959	15.045
PBc	FF0019	-28.464	-11.653	4.851
9	E5FF00	-5.715	22.094	14.868
TEam-p	7F0032	-26.1	-10.913	-6.054
SII	7F6500	-22.291	-4.409	5.434
23	FF0098	-3.226	-15.952	11.041
8r	007F4C	-15.76	11.218	13.366
46v	FF00CB	-10.882	20.464	10.605
TEpv	00FF7F	-19.682	-14.783	-12.838
OPRO	FFE500	-15.033	7.392	-1.151
ProM	007F65	-24.872	7.518	2.658
TEOm	19FF00	-27.218	-18.129	1.072
7A	267F00	-19.04	-23.907	17.833
46d	6600FF	-9.506	18.635	12.438
8m	FF3200	-12.811	8.192	15.033
F4	7F0026	-16.661	1.552	16.413
STPc	66007F	-24.952	-21.184	8.784
SUB	7F3F00	-13.764	-14.431	-9.93
VIP	007F19	-11.334	-19.317	13.543
PO	FF0032	-2.75	-32	8
32	9900FF	-1.969	19.42	8.54
1	327F00	-12.357	-13.03	20.56
[-]	000000	0.9	-7.464	-1.13
24c	33007F	-4.453	17.697	12.813
Gu	32FF00	-22.647	7.744	-0.083
F5	7F0059	-20.125	5.344	11.39
STPi	00FFE5	-26.805	-11.127	-1.31
TEpd	FF7F00	-26.888	-13.88	-10.362
INS	00197F	-18.908	-3.434	1.824
